codec,geom,file_size,run,write_ms,read_ms,verify,mode,layout,cpu,shard_size,simd_mode
codec,geometry,size_bytes,run,write_ms,read_ms,verify,mode,layout,arch,cpu,kernel,simd,simd
mojette-nonsys,8+2,4194304,1,27278,4570,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
plain,1+0,4194304,2,1445,1372,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
stripe,10+0,4194304,2,1756,1701,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,4194304,2,2651,2475,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-sys,4+2,4194304,2,3065,2493,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-nonsys,4+2,4194304,2,3021,3322,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
rs,8+2,4194304,2,2318,1975,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-sys,8+2,4194304,2,2579,2001,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-nonsys,8+2,4194304,2,2638,4517,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
plain,1+0,4194304,3,1457,1377,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
stripe,10+0,4194304,3,1771,1656,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,4194304,3,2606,2178,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-sys,4+2,4194304,3,3045,2343,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-nonsys,4+2,4194304,3,3079,3648,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
rs,8+2,4194304,3,2121,1958,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-sys,8+2,4194304,3,2481,1945,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-nonsys,8+2,4194304,3,2599,4376,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
plain,1+0,4194304,4,1441,1359,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
stripe,10+0,4194304,4,1705,1545,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,4194304,4,2654,2238,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-sys,4+2,4194304,4,3112,2318,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-nonsys,4+2,4194304,4,3130,3449,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
rs,8+2,4194304,4,2193,1883,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-sys,8+2,4194304,4,2605,1860,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-nonsys,8+2,4194304,4,2615,4580,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
plain,1+0,4194304,5,1516,1444,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
stripe,10+0,4194304,5,1668,1575,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,simd
rs,4+2,4194304,5,2481,2317,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-sys,4+2,4194304,5,3044,2329,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
mojette-nonsys,4+2,4194304,5,3122,3041,OK,healthy,v1,x86_64,Intel(R) N100,7.0.0-11163-g462c8a7b7fb3,avx2,4096,simd
